"id","run_date","action","owner","due","due_basis","source_type","source_ref","source_date","evidence","confidence","status"
"pmo-2026-08-31-001","2026-08-31","Add Dallas to the AI Champion Slack channel, send him the recurring standup invite, and confirm his access to the Monday AI Initiatives board.","Jen East","none stated","none","otter","AI Champion Role Transition Overview 7jJk7RY7oIplhTUrA4Rz-TQ5mws","2026-08-17","I'll make sure that you are in the Slack channel on the recurring meeting and have access to the Monday board.","high","new"
"pmo-2026-08-31-002","2026-08-31","Update the product team's percent complete on the Monday AI Initiatives board at least once a month.","Dallas","none stated","none","otter","AI Champion Role Transition Overview 7jJk7RY7oIplhTUrA4Rz-TQ5mws","2026-08-17","at the end of the month, just kind of moving the percent complete on the goals because those are rolling up to the company scorecard.","high","new"
"pmo-2026-08-31-003","2026-08-31","Prepare the Clay demo Naveen put forward for the all hands.","Dallas","2026-09-16","inferred","otter","AI Champion Role Transition Overview 7jJk7RY7oIplhTUrA4Rz-TQ5mws","2026-08-17","Naveen's already raised you guys for a clay demo at all hands.","medium","new"
"pmo-2026-08-31-004","2026-08-31","Present his AI work at the all hands in a ten minute slot.","Jack","2026-09-16","inferred","otter","AI Projects and Clay Integration Discussion b2KwX4wOHYbZjhVUEsTJgDG9Pwg","2026-08-17","It's some kind of AI thing. It's only 10 minutes, but I just got to show something I've been working on.","medium","new"
"pmo-2026-08-31-005","2026-08-31","Research the privacy and GDPR implications of WhatsApp outreach before the team uses it.","Jack","none stated","none","otter","AI Projects and Clay Integration Discussion b2KwX4wOHYbZjhVUEsTJgDG9Pwg","2026-08-17","So I need to do more research on that.","medium","new"
"pmo-2026-08-31-006","2026-08-31","Build pre-approved outreach templates with marketing so campaigns can go out without per-piece approval.","Dallas","none stated","none","otter","AI Projects and Clay Integration Discussion b2KwX4wOHYbZjhVUEsTJgDG9Pwg","2026-08-17","I'm just going to create templates for different situations, and once I get approval for the way those look like, then it's just going to be quick.","medium","new"
"pmo-2026-08-31-007","2026-08-31","Populate the partner-marketing LinkedIn ads audience with email, name, company, and title or LinkedIn profile for the agency.","unassigned","none stated","none","email","6sense credit utilization before Aug 30 expiry, Sierra Jones","2026-08-17","We also have a request from our agency to populate any contacts we want to target for partner marketing on linkedin advertising","medium","new"
"pmo-2026-08-31-008","2026-08-31","Return the Zuar Data Orchestration questionnaire to Randy Moore and Jason Dowden.","Dallas","2026-08-28","explicit","email","Data Orchestration Initiative (Product) - Action Required (due 8/28), Randy Moore","2026-08-18","Please return it to me and Jason Dowden no later than COB Friday, August 28th.","high","new"
"pmo-2026-08-31-009","2026-08-31","Send the calendar invite for the Zuar questionnaire kickoff session in the first half of September.","Randy Moore","none stated","none","email","Data Orchestration Initiative (Product) - Action Required (due 8/28), Randy Moore","2026-08-18","During the first half of September: I will be sending out a calendar invite for a kickoff session with you to review the questionnaire with the Zuar team.","medium","new"
"pmo-2026-08-31-010","2026-08-31","Send the side quest approval request to the team members' managers today, confirming the $10,000 bounty each.","Jen East","2026-08-18","explicit","otter","AI Change Management Side Quest Kickoff lDLa-zoWjKwv2caKHIDyUzJuXXs","2026-08-18","I will today, just to like dot the I cross the T type thing and let them know we had a meeting and that you guys are going to get started.","high","new"
