domain,trigger_type,detail,date,source
blueshieldca.com,leadership_change,"your new CFO CJ Bhalla started May 18 for both Blue Shield of California and parent Ascendiun, succeeding an interim CFO",2026-05-18,"Bhalla will begin her role as chief financial officer (CFO) on May 18, succeeding interim CFO Kassie Maroney (https://www.prnewswire.com/news-releases/healthcare-finance-veteran-cj-bhalla-named-chief-financial-officer-for-blue-shield-of-california-and-nonprofit-health-plans-parent-company-302749613.html, retrieved 2026-09-11)"
blueshieldca.com,leadership_change,your new COO Frank Caporusso took over enterprise-wide health plan operations on September 1 after Susan Mullaney's departure,2026-08-27,"Caporusso will step into a reconfigured chief operating officer role on September 1, following the departure of COO Susan Mullaney, who will leave the health plan to pursue other opportunities. (https://news.blueshieldca.com/2026/08/27/blue-shield-of-california-announces-healthcare-executive-leader-frank-caporusso-as-chief-operating-officer, retrieved 2026-09-11)"
breadfinancial.com,leadership_change,"your Chief Commercial Officer, who ran your digital and customer experience organizations, is retiring and a new Chief Revenue Officer steps in this September",2026-07-14,"Dennis McCarthy will become Executive Vice President and Chief Revenue Officer, and a member of Bread Financial's executive leadership team in early September, reporting to Andretta. (https://www.sec.gov/Archives/edgar/data/0001101215/000110121526000065/exhibit991pressrelease-exe.htm, retrieved 2026-09-11)"
breadfinancial.com,cost_mandate,"your CEO told investors you're putting AI to work on productivity and efficiency, including agentic servicing",2026-07-23,"We are strategically integrating AI in ways that advance operational excellence by improving productivity and efficiency. (https://www.theglobeandmail.com/investing/markets/markets-news/motley/3440230/bread-financial-bfh-q2-2026-earnings-call-transcript/, retrieved 2026-09-11)"
cambiahealth.com,cc_expansion,"your Arkansas Blue Cross affiliation cleared regulators and takes effect Oct. 1, making you a six-state enterprise unifying operations under Cambia",2026-09-04,"The affiliation will unify operations and enable the organizations to share best practices and expertise for local plan innovation and services, deliver personalized member experiences and leverage Cambia's robust technology infrastructure. (https://www.cambiahealth.com/news-and-stories/news-releases/arkansas-regulators-approve-arkansas-blue-cross-and-blue-shields-affiliation-with-cambia-health-solutions/, retrieved 2026-09-11)"
centene.com,quality_identity_gap,"your Stars climb is on the record, and the contracts still sitting at 3.5 are where the rest of the bonus money is",2025-10-08,"Public CMS 2026 Star Ratings release 2025-10-08, plus the refreshed QBP model (Jul 9 2026 parent_key rekey) in StarRatings_Centene_StrikeRoom_Sequence_FINAL.md: 21 contracts confirmed at the 3.5 cliff, largest sub-4.0 block Wellcare by Fidelis Care ~69k members at 3.0, trajectory ~1 percent to ~18-20 percent of members in 4-plus-star plans 2025 to 2026. Clearly dated public filing; scores at the recency floor by design."
centene.com,leadership_change,"you restructured the executive team in April, hiring Daniel Finke from Convey Health as Group President, Markets and Commercial and promoting Michael Carson to Group President, Medicare and Specialty",2026-04-06,"Centene has hired Daniel Finke as Group President, Markets and Commercial ... appointed Michael Carson to Group President, Medicare and Specialty (https://www.prnewswire.com/news-releases/centene-announces-new-executive-leadership-structure-302734400.html, retrieved 2026-09-11)"
centene.com,qbp_earnings_pressure,on your Q2 call you named Stars cut-point and methodology changes as a margin headwind while committing to Medicare Advantage breakeven or better by 2027,2026-07-28,"Centene Q2 2026 earnings call, 2026-07-28. Company cited artificial cut point increases and STARS program methodology changes as industry-wide headwinds to margin expansion, alongside a commitment to breakeven or better in Medicare Advantage by 2027 and improvement in more than 90 percent of core clinical measures. fool.com/earnings/call-transcripts/2026/07/28/centene-cnc-q2-2026-earnings-call-transcript and healthcaredive.com/news/centene-cnc-q2-2026-guidance-hike-aca-medicaid/826286"
centene.com,cost_mandate,your incoming CFO arrives this month from a finance-transformation brief and takes the seat on January 1,2026-08-17,"Centene press release 2026-08-17, Planned Chief Financial Officer Transition: Drew Asher steps down Dec 2026, Chris Neczypor (previously EVP and CFO, Lincoln Financial; corporate finance, strategy, transformation, capital management) joins Sep 2026 and becomes EVP and CFO 2027-01-01. investors.centene.com/2026-08-17-Centene-Announces-Planned-Chief-Financial-Officer-Transition and SEC 8-K sec.gov/Archives/edgar/data/0001071739/000107173926000165"
iehp.org,cc_expansion,you enter your fourth Covered California year as the lowest-cost Silver and Bronze plan in both counties with open enrollment starting Nov. 1,2026-07-27,"Today, IEHP Covered supports nearly 35,000 members across five levels of coverage: Platinum, Gold, Silver, Bronze and a Minimum Coverage plan. (https://www.iehp.org/en/our-organization/newsroom/newsroom-archive/2026/iehp-to-enter-fourth-year-on-covered-california, retrieved 2026-09-11)"
