company,domain,industry,icp_fit,employees,estate,verint_products_dated,nice_products_dated,wfm_latest,cc_latest,vito_in_dwo_pool,vito_names,evidence_tier,sku_signal,sku_signal_source,sku_signal_date,nice_use_tag,rep_confirmed,flag
"The TJX Companies, Inc.",tjx.com,Retail,yes,329000,nice,,NICE CXone (2025-10-28),,NICE,1,"John O'Rourke (Chief Operating Officer, EVP, Marmaxx)",D,,,,"bundled, no evidence of use",,
Hewlett Packard Enterprise,www8.hp.com/us/en/business-services/index.html,Outsourcer,yes,240000,nice,,NICE inContact (2024-10-25),,Avaya,0,,D,,,,"bundled, no evidence of use",,
Ford Motor Credit,ford.com,Banking,yes,173000,nice,,NICE CXone (2026-07-21),,NICE,1,Laura Castro (Chief Operating Officer and Business Office Lead),D,,,,"bundled, no evidence of use",,
Verizon,verizon.com,Telco/Cable,yes,160000,both,,NICE CXone (2026-06-23),,NICE,1,"Alfonso Villanueva (EVP, Verizon Consumer & Chief Transformation Officer)",A,"Senior Manager, System Analysis (since Sep 2021) manages 'Verint production support for 60K subscribers' across five core products including Desktop Analytics and Workforce Management. Stack read shows NICE CXone only; Verint desktop analytics confirmed by profile",https://www.linkedin.com/in/terri-outlaw-51512994/,profile read Sep 9 2026,"vendor confirmed, desktop module not named",,
Telus Corporation,telus.com,Telco/Cable,yes,108500,both,Verint Workforce Management (2025-08-13),NICE CXone (2025-09-27),Verint,Amazon Connect,0,,B,"Verint blog: TELUS International deploys Verint Workforce Engagement on Google Cloud, ~30,000 team members (May 2021). NICE also publishes a TELUS case study (2024 PDF)",https://www.verint.com/blog/global-digital-customer-experience-leader-telus-international-deploys-verint-workforce-engagement-on-google-clouds-platform-worldwide/,May 20 2021; NICE PDF Mar 2024,"vendor confirmed, desktop module not named",,
Scotiabank,scotiabank.com,Div Financial Services,yes,91013,both,Verint (2026-07-17),NICE inContact (2026-05-30),Verint,Genesys,4,"Sean Dusseau (Managing Director, Chief Operating Officer, U.S.); Jimmy Brolly (Associate Director, US FICC COO); Benjamin Levine, CPA (Director, Global Banking & Markets and Group Treasury Audit, Chief Operating Officer); Hardeep Thind (COO Houston Branch)",D,,,,"bundled, no evidence of use",,
Alorica,alorica.com,Outsourcer,yes,91000,nice,,NICE CXone (2022-09-21),,Avaya,0,,B,"CX Today case study: Alorica runs Verint Interaction Recording, Enterprise WFM, Community, Quality Management, Speech Analytics (stack read says NICE CXone; both present)",https://www.cxtoday.com/workforce-engagement-management/cx-outsourcing-case-study-in-focus-verint-and-alorica/,May 6 2022,"vendor confirmed, desktop module not named",,
IBM GBS (Global Business Services),ibm.com,Outsourcer,yes,85000,nice,,NICE CXone (2026-03-29); NICE inContact (2025-10-05),Calabrio,NICE,0,,D,,,,"bundled, no evidence of use",,
American Express,americanexpress.com,Div Financial Services,yes,77300,both,Verint Workforce Management (2026-08-08),NICE CXone (2026-07-25),Verint,Five9,3,"Junaid Shams (COO, Global Dining & Head of Rooam); Rahul Dutta (EVP, CCO Global Commercial Services); Alice Jowett (Vice President Philanthropy & COO American Express Foundation)",D,,,,"bundled, no evidence of use",,"AE to confirm: American Express Global Business Travel is the customer, AmEx proper is not the same company"
Penske Corporation,penske.com,Retail,yes,70000,nice,,NICE CXone (2024-10-31); NICE inContact (2026-08-17),,NICE,0,,D,,,,"bundled, no evidence of use",,
DaVita Kidney Care,davita.com,Healthcare Provider,yes,70000,nice,,NICE CXone (2026-08-15),,NICE,4,"Matt Rippee (Vice President and COO DaVita SNF Dialysis); Nathan Lohmeyer (Chief Operating Officer, Value-Based Care); David Maughan (Chief Operating Officer); Chris Berry (Chief Accounting Officer (CAO))",D,,,,"bundled, no evidence of use",,
TTEC,ttec.com,Outsourcer,yes,60000,nice,,NICE inContact (2023-05-25),Aspect,Five9,0,,A,"NICE case study: TTEC chose NICE for natively integrated desktop and interaction analytics; products named include Desktop Analytics and Desktop Automation; 40,000+ agents Executive Director, Systems Software Engineering lists desktop analytics among the platforms his team supports",https://www.nice.com/resources/speech-analytics-meets-sales-excellence-with-ttec-and-nexidia,"undated on page (NICE resource, PDF dated 2022)",bundled and used,,
Allstate Corporation,allstate.com,Home & Auto Insurance,yes,54000,nice,,NICE CXone (2026-06-14),,Amazon Connect,3,"Brooke Barron (Chief Operations Officer); Paul Lanspa (Chief Operating Officer - Director  Analytics, Strategy, Compensation, and Technology); Megan Dougherty (Chief Operating Officer)",A,"'Business Intelligence Speech & Desktop Analytics Consultant' on staff, now Associate Manager, Operational Support & Speech Analytics, with Desktop Analytics in the role summary. Vendor not named on the profile",https://www.linkedin.com/in/rafal-borkowski-b0225a39/,profile read Sep 9 2026,bundled and used,,
Quest Diagnostics,questdiagnostics.com,Healthcare Provider,yes,50000,both,Verint Workforce Management (2026-06-23),NICE inContact (2023-07-19),Verint,Five9,1,"Ravi K Nekkalapu (Vice President, Chief Global Architect and Digital Transformation Executive)",D,,,,"bundled, no evidence of use",,
Bell Canada,bell.ca,Telco/Cable,yes,44610,nice,,NICE CXone (2026-08-19),,Genesys,0,,D,,,,"bundled, no evidence of use",,
GEICO,geico.com,Home & Auto Insurance,yes,43000,nice,,Nice Workforce Management (2026-07-14),NICE,,0,,D,,,,"bundled, no evidence of use",,
Chubb (UK),chubb.com,Home & Auto Insurance,yes,40000,nice,,NICE CXone (2026-08-26),,NICE,9,"William Hazelton (Chief Operating Officer NA Field Operations); Jason Ranucci (Chief Operating Officer, North America Small & Lower Midmarket at Chubb); Lawrence Wieser (Chief Administrative Officer (CAO)); George F. Ohsiek, Jr. (Chief Accounting Officer (CAO)); Michael Davenport (Chief Operating Officer and Executive Vice President Agriculture); Peilin Zhang (Managing Director & COO, Asset Management); Francisco (Paco) Miron (Chief Administrative Officer (CAO)); Angela Marques Lobo (Senior Vice President, Chief Operations Officer and Transformation for Claims in Overseas General); Daniel Alberto Gonzalez (COO LATAM Region)",D,,,,"bundled, no evidence of use",,
USAA,usaa.com,Div Financial Services,yes,37000,nice,,Nice Workforce Management (2024-11-22),NICE,Amazon Connect,0,,D,,,,"bundled, no evidence of use",,
Westpac,westpac.com.au,Div Financial Services,yes,34749,nice,,NICE inContact (2022-12-30),,Amazon Connect,0,,D,,,,"bundled, no evidence of use",,
