account,full_name,input_title,linkedin_url,fresh_title,fresh_company,latest_start,status,note
Centene,Colleen Askvig,Chief Operating Officer,https://www.linkedin.com/in/colleen-askvig-5b11b38/,Chief Operating Officer,Centene Corporation,2025-08,current,
Centene,Christopher Salvatore,"Vice President, Workforce Management",https://www.linkedin.com/in/christopher-salvatore-45aa187/,"Vice President, Workforce Management",Centene Corporation,2021-05,current,
Centene,Deanna Neal,"Director, Workforce Management",https://www.linkedin.com/in/deanna-neal-4646b7149/,"Director, Workforce Management",Centene Corporation,2023-07,current,
Centene,"Jim O'Halloran, MBA","Director, National Provider Workforce Management",https://www.linkedin.com/in/jamespohalloran/,"Director, National Provider Workforce Management",Centene Corporation,2023-01,current,
Centene,Daniel R.,Vice President II-Strategic Business Operations,https://www.linkedin.com/in/danielcroth/,Vice President II-Strategic Business Operations,Centene Corporation,2025-10,current,
Centene,Elliot Wachter,"VP, Utilization Management Operations",https://www.linkedin.com/in/elliot-wachter/,"VP, Utilization Management Operations",Centene Corporation,2025-09,current,"returned twice with the same URL (one profile, duplicate record)"
Centene,Lyndsy Blonquist,Senior Director Operational Excellence Clinical Operations,https://www.linkedin.com/in/lyndsyblonquist/,Senior Director Operational Excellence Clinical Operations,Centene Corporation,2024-04,current,
Centene,Linda Gallina,"Vice President, HR Operational Excellence",https://www.linkedin.com/in/linda-gallina-170736104/,"Vice President, HR Operational Excellence",Centene Corporation,2023-07,current,
Centene,Suresh Nagarajan,"Vice President Operations, Provider Data Managemt, Provider Credentialing and Claims Configuration",https://www.linkedin.com/in/suresh-nagarajan-5b2a8968/,"Vice President Operations, Provider Data Managemt, Provider Credentialing and Claims Configuration",Centene Corporation,2021-10,current,
Centene,Curtis Elwood,Plan Chief Operating Officer,https://www.linkedin.com/in/curtis-elwood-4978b75/,Plan Chief Operating Officer,Centene Corporation,2025-07,current,
Centene,Beth P.,Vice President Clinical Operations Oversight,https://www.linkedin.com/in/beth-p-83472957/,Vice President Clinical Operations Oversight,Centene Corporation,2025-09,current,
Centene,Eric Wilson,Vice President Operations - Utilization Management (UM) Health Support Ops,https://www.linkedin.com/in/eric-wilson-3063254/,Vice President Operations - Utilization Management (UM) Health Support Ops,Centene Corporation,2025-05,current,
Centene,Jodi Comunale,"Vice President,Transformation Operations",https://www.linkedin.com/in/jodi-comunale-5673715/,"Vice President,Transformation Operations",Centene Corporation,2026-06,current,
Centene,Joe King,Vice President Claims Operations,https://www.linkedin.com/in/joe-king-6264836/,Vice President Claims Operations,Centene Corporation,2009-01,current,
Centene,"Beverlon Hodge, SPHR, CEBS","Director, Claims Operations",https://www.linkedin.com/in/beverlon-hodge-sphr-cebs-39918158/,"Director, Claims Operations",Centene Corporation,2020-04,current,
Centene,Dan Clark,Chief Operating Officer - Medicare,https://www.linkedin.com/in/dan-clark-9127a94/,Chief Operating Officer - Medicare,Centene Corporation,2024-09,current,
Centene,Brandi Bond,"Vice President, Encounter Business Operations",https://www.linkedin.com/in/brandi-bond-646178a/,"Vice President, Encounter Business Operations",Centene Corporation,2024-01,current,
Centene,"Amy Rocha, PMP, LSSGB","Director, Business Operations",https://www.linkedin.com/in/amyerocha/,"Director, Business Operations",Centene Corporation,2019-01,current,
Centene,Steele Huss MBA,"Senior Director, Business Operations (Provider Data, Configuration & Implementation)",https://www.linkedin.com/in/steele-huss-mba-5ab1716/,"Senior Director, Business Operations (Provider Data, Configuration & Implementation)",Centene Corporation,2022-12,current,
Centene,Susan White-Voight,"Director, New Business Operations Implementation",https://www.linkedin.com/in/susan-white-voight-25b8122/,"Director, New Business Operations Implementation",Centene Corporation,2023-02,current,
Centene,"Walker, Donna",Director of Business Operations/Vendor Management,https://www.linkedin.com/in/walker-donna-a41213a/,Director of Business Operations/Vendor Management,Centene Corporation,2020-05,current,
