domain,company,industry,employees,agent_count,acd,acd_source,acd_observed,wfm,wfm_source,wfm_observed,source,sf_owner_id,sixsense_stage,sixsense_intent,heat_lane,heat_score
acehardware.com,Ace Hardware Corporation,Other,5583,300,Five9,predictleads:https://www.five9.com,2026-05-26,Unknown,,,"employees 5,583 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 300 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGUIA2,Decision,80,,
adventisthealth.org,Adventist Health,Healthcare Services,15184,800,Unknown,,,Unknown,,,"employees 15,184 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 800 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gBKBIA2,Consideration,62,,
aetna.com,Aetna Claims,Insurance,10000,1000,Genesys,predictleads:https://www.genesys.com,2026-09-03,Unknown,,,"employees 10,000 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 1,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gA77IAE,Purchase,97,,
aetna.com,Aetna Clinical,Insurance,10000,1000,Genesys,predictleads:https://www.genesys.com,2026-09-03,Unknown,,,"employees 10,000 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 1,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gA77IAE,Purchase,97,,
aflac.com,Aflac,Insurance,12882,1300,Unknown,,,Unknown,,,"employees 12,882 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 1,300 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gAGWIA2,Decision,83,,
aig.com,American International Group (AIG),Insurance,26200,2600,Genesys,predictleads:https://www.genesys.com,2026-08-20,Verint,predictleads:https://www.verint.com,2022-12-09,"employees 26,200 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 2,600 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gAGQIA2,Decision,84,,
ajg.com,Gallagher,Insurance,45641,4600,Genesys,predictleads:https://www.genesys.com,2026-03-04,Calabrio,predictleads:https://www.calabrio.com,2024-11-19,"employees 45,641 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 4,600 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gAGTIA2,Decision,85,,
allianzlife.com,Allianz Life of America,Insurance,2175,200,Avaya,predictleads:https://www.avaya.com,2026-08-08,Unknown,,,"employees 2,175 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 200 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGTIA2,Decision,71,,
allstate.com,Allstate Corporation,Insurance,54000,5400,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2026-06-18,Unknown,,,"employees 54,000 per the Clay Audiences company record (employee_count, record updated 2026-09-05, read 2026-09-13); no filing-grade fact on file. agent_count 5,400 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gAGSIA2,Purchase,96,,
alticeusa.com,Optimum (formerly Altice USA),Other,11000,700,Avaya,predictleads:https://www.avaya.com,2024-10-06,Unknown,,,"employees 11,000 per the Clay Audiences company record (employee_count, record updated 2026-09-08, read 2026-09-13); no filing-grade fact on file. agent_count 700 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGTIA2,Purchase,87,,
ameren.com,Ameren Corp.,Other,9244,600,Avaya,predictleads:https://www.avaya.com,2022-12-02,Unknown,,,"employees 9,244 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 600 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGRIA2,Decision,76,,
americanexpress.com,American Express,Financial Services,77300,7700,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2026-08-30,Verint,predictleads:https://www.verint.com,2026-08-08,"employees 77,300 per the Clay Audiences company record (employee_count, record updated 2026-09-08, read 2026-09-13); no filing-grade fact on file. agent_count 7,700 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (22 vs 25 pts).",005V5000001gAGTIA2,Decision,83,,
amerihealthcaritas.com,AmeriHealth Caritas,Health Insurance,9000,1400,Avaya,predictleads:https://www.avaya.com,2024-01-30,Verint,predictleads:https://www.verint.com,2024-01-30,"employees 9,000 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 1,400 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band SENSITIVE at +/-30% (5 vs 12 pts). Note: Official fact sheet PDF reportedly says nearly 10,000 employees but could not be extracted for verbatim confirmation [UNVERIFIED]; no 2026 releases on the newsroom; the prior seed claim of two new Medicaid contract wins remains unsupported (Georgia not awarded, Florida and Texas bids lost in 2024); interim president Gregg MacDonald since 2025-10-01.",005V5000001gBKBIA2,Consideration,62,,
antheminc.com,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",Insurance,53000,5300,Genesys,predictleads:https://www.genesys.com,2022-09-18,Unknown,,,"employees 53,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 5,300 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gA77IAE,Purchase,88,,
aon.com,Aetna Life Insurance Company Inc,Insurance,50000,5000,RingCentral,predictleads:https://www.ringcentral.com,2026-08-27,Unknown,,,"employees 50,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 5,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gA77IAE,Purchase,80,,
arbcbs.com,Arkansas Blue Cross Blue Shield (BCBS AR),Health Insurance,3200,500,Unknown,,,Unknown,,,"employees 3,200 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 500 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band robust at +/-30% (5 vs 5 pts).",005V5000006tDZ3IAM,Decision,71,,
ascension.org,Ascension Health,Healthcare Services,139000,7000,Genesys,predictleads:https://www.genesys.com,2026-08-28,Unknown,,,"employees 139,000 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 7,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gAGWIA2,Decision,84,,
astound.com,Astound Broadband,Other,3500,200,RingCentral,predictleads:https://www.ringcentral.com,2024-01-17,Unknown,,,"employees 3,500 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 200 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000006tDZ3IAM,Purchase,92,,
avnet.com,Avnet,Other,17700,1100,Avaya,predictleads:https://www.avaya.com,2022-07-13,Unknown,,,"employees 17,700 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 1,100 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gAGPIA2,Decision,75,,
bankofamerica.com,Bank of America,Financial Services,212752,21300,Genesys,predictleads:https://www.genesys.com,2024-10-21,Unknown,,,"employees 212,752 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 21,300 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band robust at +/-30% (25 vs 25 pts).",005V5000001gAGQIA2,Purchase,94,,
bannerhealth.com,Banner Health,Healthcare Services,52000,2600,Avaya,predictleads:https://www.avaya.com,2026-07-27,Unknown,,,"employees 52,000 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 2,600 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000006tDZ3IAM,Decision,78,,
basspro.com,"Bass Pro, Inc.",Other,32472,1900,Five9,predictleads:https://www.five9.com,2026-08-30,Unknown,,,"employees 32,472 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 1,900 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gBKBIA2,Consideration,67,,
bbandt.com,BB&T (Branch Banking & Trust),Banking,37200,3000,Unknown,,,Unknown,,,"employees 37,200 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 3,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.08 (Banking); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gBKBIA2,Purchase,89,,
