account,map_name,order,depth,full_name,title,level,function,reports_up_to,executive,linkedin_url,source,badge_check,li_active,note,lane
BMO,BMO - Back Office,1,0,Ann Marie Wright,US Chief Administrative Officer,C,Operations,Top of the map,Ann Marie Wright,https://www.linkedin.com/in/ann-marie-mitchell-wright/,Sep 9 search | live-verified,,,,Operations executives
BMO,BMO - Back Office,2,0,Augustin de Kerversau,"Chief Operating Officer, BMO US Banking",C,Operations,Top of the map,Augustin de Kerversau,https://www.linkedin.com/in/augustin-de-kerversau-776125a7/,Sep 9 search | live-verified,,,,Operations executives
BMO,BMO - Back Office,3,1,Michael Battagliese,Senior Vice President - Head of Payments,SVP,Payments & client onboarding,Augustin de Kerversau,Augustin de Kerversau,https://www.linkedin.com/in/michael-battagliese-9aa6b42/,Sep 9 search | live-verified,VERIFY:Miami-based Head of Payments; confirm whether the seat is US Banking or enterprise,,,Operations executives
BMO,BMO - Back Office,4,0,Mona Malone,"Chief Administrative Officer, BMO Financial Group",C,Operations,Top of the map,Mona Malone,https://www.linkedin.com/in/mona-malone-b389b022/,Sep 9 search | live-verified,,,,Operations executives
BMO,BMO - Back Office,5,1,Matt Turnbull,"Head, Business Enablement (COO) - Financial Crimes Unit",C,Finance & shared services,Mona Malone,Mona Malone,https://www.linkedin.com/in/matt-turnbull-87556015/,Sep 9 search | live-verified,IN_SF:already in Salesforce (as Bank Of Montreal),,,Operations executives
BMO,BMO - Back Office,6,1,Sarah Clements,"Vice President & Head, HR Operations and Shared Services",VP,Finance & shared services,Mona Malone,Mona Malone,https://www.linkedin.com/in/sarahjclements/,Sep 9 search | live-verified,IN_SF:already in Salesforce,,,Operations leaders
BMO,BMO - Back Office,7,2,Bryan Cheek,Director of Workforce Data & Reporting,Director,Operations,Sarah Clements,Mona Malone,https://www.linkedin.com/in/bryan-cheek-8194a48/,Sep 9 search | live-verified,,,,Workforce planning & product owners
BMO,BMO - Back Office,8,2,Theresa McKinney Williams,"Director, Workforce Programs",Director,Operations,Sarah Clements,Mona Malone,https://www.linkedin.com/in/theresa-mckinney-williams-693b2b69/,Sep 9 search | live-verified,,,,Workforce planning & product owners
BMO,BMO - Back Office,9,0,Raphael Schapiro,"Chief Operating Officer, Technology & Operations Group, and Head of Transformation",C,Operations,Top of the map,Raphael Schapiro,https://www.linkedin.com/in/raphael-schapiro-ab468564/,Sep 9 search | live-verified,IN_SF:already in Salesforce,,,Operations executives
BMO,BMO - Back Office,10,1,Christopher Collaros,Senior Vice President Operations,SVP,Operations,Raphael Schapiro,Raphael Schapiro,https://www.linkedin.com/in/christopher-collaros-428a39126/,Sep 9 search | live-verified,,,,Operations executives
