date,action,table,credits_estimated,credits_actual,running_total,budget_remaining,note
2026-07-07,workbook_create,GTM Engine,0,0,0,5000,Fresh workbook stood up (Dallas's call over extending Maya_DropIn)
2026-07-07,csv_import,Accounts (Master),0,0,0,5000,10-row Tier A+B seed imported. CSV import is free.
2026-07-07,formula_columns,Accounts (Master),0,0,0,5000,fit_star + motion_exclude + grade added as native formula columns. Formulas do not consume credits.
2026-07-07,csv_import,Contacts (Buying Committee),0,0,0,5000,22 buying-committee contacts imported with attribution tags. Free.
2026-07-07,GATE,-,,,0,5000,No enrichment run this session. Next credit spend (email waterfall / company enrich) is GATED on Naveen alignment + a pre-run estimate.
2026-07-07,csv_import,Product-Angle Map / ICP Rubric / Verified Metrics,0,0,0,5000,3 reference tables (targeting logic + tiered guardrail). Free imports.
2026-07-07,formula_columns,ALL 5 tables,0,0,0,5000,Added data_source provenance stamp (constant formula) to every table. No credits.
2026-07-07,INTEGRITY,Verified Metrics / Claims,,,0,5000,Guardrail table: placeholder stats flagged DO-NOT-SEND; stale 157/38 counts and Intercom/Rippling dropped per review.
2026-07-07,formula_columns,Contacts (Buying Committee),0,0,0,5000,Send Queue L5 gate built LIVE: critic_email_valid (PASS/FAIL off Email Status) + human_approved checkbox + send_ready. All rows HOLD until a human checks the box. No credits.
2026-07-07,csv_import,CMS Star Ratings Import,0,0,0,5000,L0 source: 307-row public CMS 2026 universe. primary_sources column stamps provenance per row. Free.
2026-07-07,GATE,Message Gen + wiring,,,0,5000,Message Gen AI column and Accounts->Contacts write left UNBUILT tonight to protect the 5000-credit budget and avoid rushed wiring. Clearly-scoped next steps.
2026-07-08,AUDIT,ALL 6 tables,0,0,0,5000,Pre-review audit: Clay Usage page confirms GTM Engine workbook at 0 credits / 0 actions. Formulas recomputed against source CSVs and verified. No enrichment or AI columns exist; Auto-run 0 on every table; all 22 send_ready rows HOLD.
2026-07-08,column_rename,Contacts (Buying Committee),0,0,0,5000,Renamed 2 columns to stamp data vintage: Account Forgone QBP ($M / 2025-cycle scored list) and Cliff-Edge Contracts (2025-cycle). Figures trace to Scored Targets (93) sheet of StarRatings_CliffEdge_Target_List.xlsx; distinct from the 2026 canonical universe in Accounts/CMS tables. Rename only; no data touched; no credits.
2026-07-08,csv_import,Accounts (Master) v2,0,0,0,5000,GREEN LIGHT execution: full 98-row Tier A+B universe imported as new table (32 parents; Molina MAPD structural excludes; new_faller Y-to-TRUE mapping fixed pre-import). Old 10-row seed renamed Accounts SEED ARCHIVE (superseded Jul 8); new table renamed Accounts (Master). CSV import free.
2026-07-08,formula_columns,Accounts (Master) v2,0,0,0,5000,Recreated fit_star / motion_exclude / grade with formulas character-identical to audited originals (verified in-panel) + data_source constant. Live check: 3 Excluded exactly (H5649 H3528 H3038). Expected distribution 10 B / 78 C / 7 D / 3 Excluded. No credits; formulas free.
2026-07-08,formula_columns,Contacts (Buying Committee),0,0,0,5000,2026-cycle refresh applied: 3 new formula columns keyed on Company (Account Forgone QBP ($M 2026-cycle): Humana 1776.3 / UHC 885.8 / Centene 165.8 / CVS 226.4 / Medica 61.2; Cliff-Edge Contracts (2026-cycle): 14/20/21/10/3; Why Now (2026-cycle) with addressable-slice framing). Three 2025-cycle columns HIDDEN not deleted (recoverable). No credits.
2026-07-08,STAGING_CLEANUP,GTM_Engine_Accounts_TierAB_88_NetNew,0,0,0,5000,Temp 88-row staging table created then deleted (30-day trash recovery; source CSV on disk). Send-table-data path abandoned: mapping into CSV-static destination columns risked nesting or overwrite; fresh-table rebuild chosen instead. 0 credits confirmed on Usage page before and after.
2026-07-08,GATE,Wires 1+2 (Lookup Rows),,,0,5000,REMAINING FREE STEP: decision_maker_found lookup (Accounts pulls verified Director+ from Contacts) + account-context lookup into Contacts, per greenlight-pack/04_Wiring_Runbook.md. Deliberately not half-built at session end. Credit-spending runs remain gated per 02_Credit_Spend_Plan.md.
2026-07-08,formula_columns,Accounts (Master) + Contacts,0,0,0,5000,parent_key join keys added to both tables (Accounts: derived from parent_org; Contacts: derived from Company Domain). Formula columns are free.
2026-07-08,lookup_enrichment,Accounts (Master),0,0,0,5000,WIRE 1: Lookup Multiple Rows in Other Table (Contacts on parent_key Equals parent_key) run on 98 rows + Critic Email Pass helper formula + decision_maker_found repointed to it. Clay-internal lookups consume 0 credits (confirmed on Usage page). Grades recomputed live: matched non-fallers 40 to 65 (B); matched fallers 55 to 80 (A); Excluded rows unaffected.
2026-07-08,lookup_enrichment,Contacts (Buying Committee),0,0,0,5000,WIRE 2: Lookup Single Row in Other Table (Accounts on parent_key Equals parent_key) run on 22 rows; all Record Found; 0 credits. Verified Humana returns H5216 (largest addr_2028 456.7) with Grade/Tier/Addr_2028Musd/Contract Id available as MessageGen tokens. Only credit-spending runs remain, per 02_Credit_Spend_Plan.md.
2026-07-08,campaign_create,Stars QBP Wave 1 - Tier A Committee (GATED),0,0,0,5000,Native sequencer campaign built in DRAFT: 3-message sequence (Day 1 / +3d reply-thread / +5d breakup) with merge variables off live Contacts columns; plaintext; pause-same-company-on-reply ON; schedule Optimized for deliverability Mon-Fri 9-5 ET 20-min spacing; events table created pre-launch. Per current Clay docs sequencing bills 1 Action per lead AT LAUNCH ONLY and Data Credits only if AI snippets used (none used). No sender connected; NOT launched; nothing sent; 0 credits.
2026-07-08,run_condition,Contacts (Buying Committee),0,0,0,5000,"Send gate wired into sequencer: Sync leads to campaign column now has run condition send_ready == ""READY"" (verified: all 22 rows preview Will not run while HOLD). Saved without running. NOTE: initial campaign creation auto-synced 10 draft leads before the gate existed (incl. 3 empty-email rows + 1 critic-FAIL email); harmless in Draft but purge/approve them in the campaign Leads tab BEFORE any launch."
2026-07-08,GATE,Sequencer launch,,,0,5000,Launch remains gated on: (1) mailbox OAuth by Dallas (Outlook/Google Workspace; workspace admin must trust the Clay Sequencer app, up to 24h), (2) warmup enabled, (3) draft-lead cleanup per above, (4) human_approved checks flipping send_ready to READY for the intended contacts, (5) Dallas explicitly clicking Launch. Sequenced leads consume Actions at launch.
2026-07-08,table_create,SalesNav Staging (Persona Pull),0,0,0,5000,SalesNav intake scaffolding built free: header template import (1 clearly-labeled EXAMPLE-DELETE row), Persona Key formula (bo_claims/bo_shared/bo_payment/coo_finance/stars_quality/cc_ops/outside_icp), Parent Key formula (known-parent map + domain-stem fallback), dedup Lookup Multiple Rows vs Contacts on LinkedIn URL, Promote Gate Status formula (MISSING_LINKEDIN/DUPLICATE/OUTSIDE_ICP/READY), Data Source Notes constant. No enrichment columns; imports and formulas free; 0 credits.
