company,domain,industry,icp_fit,employees,estate,verint_products_dated,nice_products_dated,wfm_latest,cc_latest,vito_in_dwo_pool,vito_names,evidence_tier,sku_signal,sku_signal_source,sku_signal_date,nice_use_tag,rep_confirmed,flag
Verizon,verizon.com,Telco/Cable,yes,160000,both,,NICE CXone (2026-06-23),,NICE,1,"Alfonso Villanueva (EVP, Verizon Consumer & Chief Transformation Officer)",A,"Senior Manager, System Analysis (since Sep 2021) manages 'Verint production support for 60K subscribers' across five core products including Desktop Analytics and Workforce Management. Stack read shows NICE CXone only; Verint desktop analytics confirmed by profile",https://www.linkedin.com/in/terri-outlaw-51512994/,profile read Sep 9 2026,"vendor confirmed, desktop module not named",,
Telus Corporation,telus.com,Telco/Cable,yes,108500,both,Verint Workforce Management (2025-08-13),NICE CXone (2025-09-27),Verint,Amazon Connect,0,,B,"Verint blog: TELUS International deploys Verint Workforce Engagement on Google Cloud, ~30,000 team members (May 2021). NICE also publishes a TELUS case study (2024 PDF)",https://www.verint.com/blog/global-digital-customer-experience-leader-telus-international-deploys-verint-workforce-engagement-on-google-clouds-platform-worldwide/,May 20 2021; NICE PDF Mar 2024,"vendor confirmed, desktop module not named",,
Scotiabank,scotiabank.com,Div Financial Services,yes,91013,both,Verint (2026-07-17),NICE inContact (2026-05-30),Verint,Genesys,4,"Sean Dusseau (Managing Director, Chief Operating Officer, U.S.); Jimmy Brolly (Associate Director, US FICC COO); Benjamin Levine, CPA (Director, Global Banking & Markets and Group Treasury Audit, Chief Operating Officer); Hardeep Thind (COO Houston Branch)",D,,,,"bundled, no evidence of use",,
American Express,americanexpress.com,Div Financial Services,yes,77300,both,Verint Workforce Management (2026-08-08),NICE CXone (2026-07-25),Verint,Five9,3,"Junaid Shams (COO, Global Dining & Head of Rooam); Rahul Dutta (EVP, CCO Global Commercial Services); Alice Jowett (Vice President Philanthropy & COO American Express Foundation)",D,,,,"bundled, no evidence of use",,"AE to confirm: American Express Global Business Travel is the customer, AmEx proper is not the same company"
Progressive Insurance,progressive.com,Home & Auto Insurance,yes,55100,verint,Verint (2025-12-20),,Verint,Five9,0,,C,"Profile search matched a Director of CRM at Progressive on the desktop-analytics terms; profile could not be resolved for enrichment, text unconfirmed",Clay profile search Sep 9 2026,Sep 9 2026,,,Progressive Leasing (a customer) is an unrelated company; keep
Quest Diagnostics,questdiagnostics.com,Healthcare Provider,yes,50000,both,Verint Workforce Management (2026-06-23),NICE inContact (2023-07-19),Verint,Five9,1,"Ravi K Nekkalapu (Vice President, Chief Global Architect and Digital Transformation Executive)",D,,,,"bundled, no evidence of use",,
Penn Medicine,pennmedicine.org,Healthcare Provider,yes,47035,verint,Verint Workforce Management (2022-09-20),,Verint,Avaya,0,,D,,,,,,
Gallagher,ajg.com,Home & Auto Insurance,yes,45641,verint,Verint (2023-03-02),,Calabrio,Genesys,2,April Engelman (Chief Operating Officer); Mark Hansen (Chief Operating Officer),D,,,,,,
Manulife Financial Corporation,manulife.com,Div Financial Services,yes,40000,verint,Verint Workforce Management (2025-11-29),,Verint,Genesys,4,"Gaurav Saini (Chief Administrative Officer); Ryan Sample (VP, Strategy and COO Operations - Investments); Thomas Zakian, CPA (Chief Operating Officer - Global Private Equity and Timberland); Rahul Joshi (Global Chief Operations Officer)",B,Verint press release: Manulife speech analytics analyst presenting; daily insight reports to 200+ subscribers,https://www.verint.com/press-room/2020-press-releases/verint-october-events-focus-on-how-ai-and-automation-in-customer-and-workforce-engagement-drive-insights-to-help-organizations-navigate-and-thrive/,Oct 2020,,,
Advance Auto Parts,advanceautoparts.com,Retail,yes,40000,verint,Verint Workforce Management (2023-08-21),,Verint,,0,,D,,,,,,
Sedgwick,sedgwick.com,Home & Auto Insurance,yes,31000,verint,Verint Workforce Management (2022-04-13),,Verint,Avaya,3,"Vishy Padmanabhan (Chief Transformation Officer); Laurie Craig, CSPO, CSM (Global IT Chief Operations Officer); K Max Koonce II (Chief Claims Officer)",D,,,,,,
Qurate Retail Group,qurateretailgroup.com,Retail,yes,28000,verint,Verint (2021-02-05),,Verint,Avaya,0,,D,,,,,,
American International Group (AIG),aig.com,Home & Auto Insurance,yes,26200,verint,Verint (2022-12-09),,Verint,Genesys,9,"Rita Perez (Chief Claims Officer, North America); Jennifer Holland (VP and COO, AIG Warranty); Senthil Nathan (Global Claims Operations COO, Technical & Service Delivery); Chris Bevacqua (North America COO & Global Head of Contact Centers); Kym Mccleerey (Global Chief Operations Officer); Chris Holcombe (Global Claims, COO); Kathleen Carbone (Chief Accounting Officer (CAO) and Global Controller); Jill Dixon (Multinational Chief Operating Officer); Greg Leonberger (COO - Global Warranty)",C,AppsRunTheWorld lists AIG as a NICE inContact CXone customer (third-party technographic),https://www.appsruntheworld.com/customers-database/products/view/nice-incontact-cxone-cloud-cx-platform,undated listing,"bundled, no evidence of use",,
W.W. Grainger (aka Grainger),grainger.com,Retail,yes,23200,verint,Verint (2025-02-11),,Verint,Amazon Connect,0,,D,,,,,,
Navy Federal Credit Union,navyfederal.org,Div Financial Services,yes,21442,verint,Verint Workforce Management (2026-02-05),,Verint,,6,"Davon Branch (MLO CCO III); Christopher Lakian (Contact Center-MLO • GPO & CCO); Krystal Hughes (AVP, CCO Quality, Training, & Communications); Chris Pinney (VP, CCO Workforce Planning & Learning); Kara Cardona (Chief Operating Officer); Rebecca Villagomez (MSR V CCO Digital Assist)",B,"Verint case studies name WFM, Quality Management, Performance Management, Speech Analytics and Open Platform; ICMI 2022 finalist press release",https://www.verint.com/case-studies/navy-federal-credit-union-unifies-departments-with-centralized-workforce-management/,undated; press release Sep 14 2022,,,
