Project Name,Task Name,Task Description,Task Due Date,Task Progress,Assigned To,Notes,Additional Assignees,Archive?,Link to Item,Edit Task
Cleveland Clinic,Investment Return Review,Align on investment-return method and validate the savings line by line with Shantel,10/10/2026,In progress,Amy Johnson;Matt McConnell,"Open since 11/18/2025 (Success Plan, priority High). Committed at the 11/6/2025 success review.",,No,,
Cleveland Clinic,Investment Return Review,Review the original business case against current performance; set savings expectations the customer accepts,10/10/2026,Not started,Mary Ann Chandler;Matt McConnell,11/6/2025 commitment.,,No,,
Cleveland Clinic,Open Cases,"Confirm status of cases 00322148, 00321545, 00321947, 00321814, 323900 and give CCF a closure timeline in writing",9/25/2026,Not started,Amy Johnson,Open Cases section of the Success Plan is empty as of 9/8/2026.,,No,,
Cleveland Clinic,Paused Rules,Record why End of Shift and Leave Early rules were paused 6/12/2026 and what would restart them,9/25/2026,Not started,Amy Johnson,Success Plan Active sheet.,,No,,
Cleveland Clinic,User Proof,Collect two-sentence statements from supervisors using Coach Now (83% acceptance) and teams self-curing AUX alerts,10/10/2026,Not started,Amy Johnson;Inger Escamilla,Inger's bottom-up track. Feeds the impact summary for Rena.,,No,,
Cleveland Clinic,RFP Continuity,"Platform-continuity conversation with Scott Faini, Bob Ganem, Terri Horan and Katherine Neal",11/9/2026,Not started,Inger Escamilla,"Verified line: sits on top of the existing WFM, integrates with Genesys Cloud, NICE and others. Katherine Neal is an architect, not a director. Leslie Chom not found at the domain; confirm in Sales Nav.",,No,,
Cleveland Clinic,Harmonic Migration,"Present the migration as continuity, with the customer's open issues carried into the plan",11/9/2026,Not started,Amy Johnson;Matt McConnell,Inger: a bad migration experience is the exit trigger.,,No,,
Cleveland Clinic,Executive Review,Executive review with Lisa Yerian; CFO and COO notes only after the reviewed savings number holds,11/9/2026,Not started,Mary Ann Chandler;Inger Escamilla,Dennis Laraway and Bill Peacock not found at the domain by the free bridge; confirm in Sales Nav.,,No,,
Cleveland Clinic,Save Room,Cleveland Clinic Save Room live; weekly health watcher and Monday owner digest running,9/19/2026,In progress,Dallas Andrews,"Page built 9/10/2026. Watcher staged, not loaded.",,No,,
Cleveland Clinic,Contact Validation,Validated work emails for the seven net-new names the free bridge found,9/10/2026,Completed,Dallas Andrews,"Done 9/11/2026: 12 of 12 searchable names verified via the Clay Work Email routine, 6.9 credits. Leslie Chom shows retired on LinkedIn and is off the list; the Florida ""David"" has no surname.",,No,,
Cleveland Clinic,Brainstorm,"Cleveland Clinic save brainstorm with Clint, Nicole and leadership; owners assigned live from this list",9/25/2026,Not started,Inger Escamilla,Sep 10 call. Dallas to attend with the Save Room.,,No,,
Cleveland Clinic,Nurture,Monthly one-pager to known contacts in lemlist; stakeholder sequence to net-new names after Inger clears them,10/10/2026,Not started,Dallas Andrews;Nicole Garcia,No loads until cleared. Content from marketing.,,No,,
