parent_org,contract_id,marketing_name,org_type,snp,members,forgone_qbp_musd,lead_product,sell_window,priority_tier,measure_profile,addressable_measure_gaps,rationale,gtm_engine_sourced,source_motion,sourced_date
Humana,H5216,Humana,Local CCP,Yes,2470763,820.3,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.7 / Clin 3.3,"D04 D Quality Imp (2★), C21 Cust Service (3★), C22 Care Quality (3★), C23 Health Plan (3★), C24 Care Coord (3★) +1 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Humana,H5619,Humana,Local CCP,Yes,490987,163.0,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.6 / Clin 3.1,"C21 Cust Service (3★), C29 Appeals Upheld (3★), C19 Getting Care (3★), C23 Health Plan (3★), C24 Care Coord (3★) +2 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,H8768,UnitedHealthcare,Local CCP,No,317637,111.5,QO,Now (QO),A - QO now,CS 3.4 / Clin 3.1,"C21 Cust Service (1★), C20 Appts Quickly (2★), C23 Health Plan (2★), D05 Drug Plan (2★), C19 Getting Care (3★) +3 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
Humana,H0028,Humana,Local CCP,Yes,342600,113.7,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.6 / Clin 3.4,"D04 D Quality Imp (2★), C19 Getting Care (3★), C22 Care Quality (3★), C24 Care Coord (3★), C26 Disenroll (3★) +2 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Humana,H6622,Humana,Local CCP,Yes,341511,113.4,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.6 / Clin 3.4,"D04 D Quality Imp (2★), C21 Cust Service (3★), C19 Getting Care (3★), C23 Health Plan (3★), C26 Disenroll (3★) +2 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,H0543,UnitedHealthcare,Local CCP,Yes,256685,85.2,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.2 / Clin 3.6,"C19 Getting Care (1★), C20 Appts Quickly (1★), C24 Care Coord (1★), C27 Quality Imp (2★), D06 Getting Rx (2★) +4 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,H3387,UnitedHealthcare,Local CCP,Yes,158177,52.5,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.5 / Clin 3.7,"C20 Appts Quickly (2★), C22 Care Quality (2★), C21 Cust Service (3★), C19 Getting Care (3★), C23 Health Plan (3★) +4 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,H4514,UnitedHealthcare,Local CCP,Yes,148399,49.3,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.7 / Clin 3.2,"C21 Cust Service (2★), D04 D Quality Imp (2★), C24 Care Coord (3★), C26 Disenroll (3★), C27 Quality Imp (3★) +2 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,H4604,UnitedHealthcare,Local CCP,Yes,139923,46.5,BOO,At BOO GA (Sep 2026),B - BOO large,CS 3.8 / Clin 3.5,"C21 Cust Service (2★), C20 Appts Quickly (2★), C19 Getting Care (3★), C22 Care Quality (3★), C23 Health Plan (3★) +1 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,R7444,UnitedHealthcare,Regional CCP,No,80000,28.1,QO,Now (QO),A - QO now,CS 3.6 / Clin 3.2,"C23 Health Plan (1★), D05 Drug Plan (1★), C19 Getting Care (2★), C20 Appts Quickly (3★), C22 Care Quality (3★) +1 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
