account,domain,seat,name,title,linkedin_url,country,start_date,wave_number,wave_status,status,opener_line,contract_line,vm_hook,voice_script,critic_verdict,prompt_version
Aer Lingus,aerlingus.com,COO/Ops Dir,Adrian Dunne,Chief Operating Officer,https://www.linkedin.com/in/adrian-dunne-64699836/,Ireland,2023-08-01,1,drafted,NOT LOADED - pending DNC gate,"Running short haul and transatlantic out of the same hub means carrying both ends of the compensation scale at once, 250 euro on one side of the operation and the top band on the other.","One disrupted bank at the hub opens claims windows that stay live for six years, on both sides of the operation at once.","it's about the note I sent on the three hour mark, and carrying both ends of it from one hub","Hi Adrian, it's Jack Ohagan. A mixed hub operation carries both ends of the compensation scale at once, and when a bank breaks, the claims, contact and re-accommodation surge hits one workforce from two directions. How do your teams flex when a whole bank breaks at the hub?",PASS (fixed v1.1),airlines-v1.1
Aer Lingus,aerlingus.com,COO/Ops Dir,John Tanner,Head of Operations Planning,https://www.linkedin.com/in/john-tanner-6a897555/,Ireland,2023-02-01,1,drafted,NOT LOADED - pending DNC gate,"Operations plans this summer met the day Eurocontrol logged as the busiest in European aviation history, and the difference between a plan holding and slipping past three hours is now priced per passenger.","Planning horizons are officially six years now, because that is how long a slipped plan can keep generating claims.","it's about the note I sent on the three hour mark, and what record traffic did to the plan","Hi John, it's Jack Ohagan. Every plan in Europe met record traffic this July, and the interesting question isn't whether plans break, it's how fast the workforce downstream re-plans when they do, because that speed is what the three hour rule actually prices. How systematised is that recovery on your side?",PASS (fixed v1.1),airlines-v1.1
Aer Lingus,aerlingus.com,Cust Operations/CX,Marc Giles,Head Of Customer Experience,https://www.linkedin.com/in/marc-giles/,Ireland,2018-05-01,1,drafted,NOT LOADED - pending DNC gate,"After a disrupted day the customer experience isn't decided by the delay, it's decided by the queue the next morning, and that queue is a staffing decision made the night before.","A passenger has six years to claim, but they decide how they feel about the airline in the first week, which makes the surge window the whole game.","it's about the note I sent on the three hour mark, and the queue that decides the experience","Hi Marc, it's Jack Ohagan. What I keep seeing is that the delay is priced by regulation but the experience is priced by the queue afterwards, and the airlines that win that week are the ones who had the surge staffed before it arrived. How does your team see that surge coming today?",PASS,airlines-v1.0
Aer Lingus,aerlingus.com,Ground/Airport Ops,Gary Cooley,Chairperson Airline Operators Committee ( AOC ) Dublin Airport,https://www.linkedin.com/in/gary-cooley-201341236/,Ireland,2021-01-01,1,drafted,NOT LOADED - pending DNC gate,"When one flight in five gets held by flow control in a single week, as happened in late July, every carrier at the airport shares the same recovery problem at the same time.",A shared bad day at the airport turns into six years of claims spread across every operator on the field.,"it's about the note I sent on the three hour mark, and what a shared bad day costs the field","Hi Gary, it's Jack Ohagan. When flow control holds one flight in five, every operator on the field hits their recovery problem at the same hour, and the ones who come out clean are those whose ground and contact teams re-shape fastest. Across the field, where do you see that recovery jam up first?",PASS,airlines-v1.0
Aer Lingus,aerlingus.com,Ground/Airport Ops,Alan Long,Head of Network Airport Operations,https://www.linkedin.com/in/alan-long-376ba817/,Ireland,2016-04-01,1,drafted,NOT LOADED - pending DNC gate,Network airport operations means owning the stations where a ten minute slip either side of the three hour mark decides whether an arrival costs nothing or thousands.,"An outstation's bad afternoon keeps generating claims for six years, mostly handled by people who have never seen that station.","it's about the note I sent on the three hour mark, and the outstations closest to it","Hi Alan, it's Jack Ohagan. Across a network of stations the three hour rule turns local minutes into central money, and the stations that stay clean are the ones that can pull people to a slipping turn in minutes. How much visibility does the centre have of that happening live?",PASS,airlines-v1.0
Aer Lingus,aerlingus.com,Ground/Airport Ops,Seán Murphy,Executive Director of HR & Dublin Airport Operations,https://www.linkedin.com/in/se%C3%A1n-murphy-62b8075/,Ireland,2019-10-01,1,drafted,NOT LOADED - pending DNC gate,"Sitting across both HR and airport operations means seeing the same summer twice, once as a roster under record traffic and once as the queues that form when it slips.","The claims from one disrupted week arrive for six years, and they arrive as workload, which makes them a people question long before a finance one.","it's about the note I sent on the three hour mark, and the people side of it","Hi Sean, it's Jack Ohagan. Disruption cost usually gets discussed as compensation, but it lands as workload, the same people absorbing the queues, the claims and the re-planning at once. Seeing it from both the people side and the ops side, where does that load concentrate for you?",PASS,airlines-v1.0
Aer Lingus,aerlingus.com,Ground/Airport Ops,Loraine Brown,"Head of Ground Operations Safety, Compliance, Training and Airport Systems",https://www.linkedin.com/in/loraine-brown-59817a94/,Ireland,2023-01-01,1,drafted,NOT LOADED - pending DNC gate,Ground ops training decides how a station behaves in the exact ten minutes that separate a free arrival from a priced one.,"Training done before the season pays through six years of claims never filed, which is an unusual return profile for a training budget.","it's about the note I sent on the three hour mark, and the training minutes that move it","Hi Loraine, it's Jack Ohagan. The three hour rule quietly made ground training a finance line, because the behaviours that save ten minutes on a turn are trained, not hoped for. The hard part is getting coaching to people mid-season without pulling them off the operation. How do you square that in the summer?",PASS,airlines-v1.0
Aer Lingus,aerlingus.com,Resource Planning/WFM,Yvonne De Silva W,Director of Operations Control,https://www.linkedin.com/in/yvonne-de-silva-w-90548340/,Ireland,2023-06-01,1,drafted,NOT LOADED - pending DNC gate,"Operations control at a hub carrier holds the only real-time picture of a disruption, while the teams who absorb its cost usually get theirs the next morning.","Every event logged in the control room this summer has a six year claims tail attached, which the control room never sees but the operation pays.","it's about the note I sent on the three hour mark, and the morning-after gap","Hi Yvonne, it's Jack Ohagan. The control room sees disruption in real time and the downstream teams mostly see it the next morning, and that overnight gap is where the compensation clock does its quiet work. How close is that loop between your desk and the teams who staff the day after?",PASS,airlines-v1.0
British Airways,ba.com,COO/Ops Dir,Mark Shaw,Head of Operations (Post Holder),https://www.linkedin.com/in/mark-shaw-6934311a5/,United Kingdom,2024-10-01,1,drafted,NOT LOADED - pending DNC gate,Running the operation as post holder means owning a July where Europe logged its busiest day ever and a week where one flight in five was held by flow restrictions.,"Every delay that crossed three hours this summer opened a six year claims window, which makes this season's operational file a long-lived one.","it's about the note I sent on the three hour mark, and the record July behind it","Hi Mark, it's Jack Ohagan. Europe just logged its busiest day ever and a week where one flight in five was held by flow control, and the cost of those holds is now per passenger, per hour. When the network has a day like that, how quickly do the teams downstream of the ops room reshape around it?",PASS (fixed v1.1),airlines-v1.1
British Airways,ba.com,COO/Ops Dir,Viktorija Diestelkamp,Head of Operations Planning,https://www.linkedin.com/in/viktorija-diestelkamp/,United Kingdom,2025-06-01,1,drafted,NOT LOADED - pending DNC gate,"The value of a planning buffer used to be an argument, now it's arithmetic, because every arrival past three hours bills per passenger, up to 520 pounds at long haul.","A plan that holds is free, a plan that slips past three hours bills per passenger for up to six years, which changes what a planning buffer is worth.","it's about the note I sent on the three hour mark, and what it does to planning buffers","Hi Viktorija, it's Jack Ohagan. The interesting planning question this summer is what a buffer is worth, because the three hour rule turned schedule slack into a priced asset. When the plan does break, how fast can the downstream teams re-plan against it?",PASS (opener inverted v1.2),airlines-v1.2
British Airways,ba.com,COO/Ops Dir,René de Groot,COO - Chief Operating Officer,https://www.linkedin.com/in/ren%c3%a9-de-groot-97986a43/,United Kingdom,2022-10-01,1,drafted,NOT LOADED - pending DNC gate,"One late widebody creates two recoveries, the aircraft's and the workforce's, and only the first one is usually planned; at 520 pounds a seat, the second one is what turns a bad night into a six figure event.","The six year claims window means one bad operational week keeps billing quietly into the next decade, long after the cause is fixed.","it's about the note I sent on the three hour mark, and the widebody maths behind it, 520 pounds a seat","Hi Rene, it's Jack Ohagan. At 520 pounds a seat, one late widebody is a six figure event, and what I keep seeing is that the operational recovery is fast but the workforce recovery, claims, contact, re-accommodation, runs a day behind it. Where does that second wave land hardest for you?",PASS (opener inverted v1.2),airlines-v1.2
Jet2,jet2.com,COO/Ops Dir,Ollie Watkins,Head of Operations Systems Solutions,https://www.linkedin.com/in/ollie-watkins-29b3b761/,United Kingdom,2023-12-01,1,drafted,NOT LOADED - pending DNC gate,"The systems that run the operation already know which flights crossed three hours, which means the compensation exposure is computed before anyone has decided what to do about it.","Systems keep the record for six years without being asked, the claims window simply matches the retention policy.","it's about the note I sent on the three hour mark, and the systems that already see it","Hi Ollie, it's Jack Ohagan. The odd thing about disruption cost is that the systems already see it form, the three hour crossings are in the data immediately, but the workforce response mostly runs a day behind the data. What would it take, on your stack, for those two to run at the same speed?",PASS,airlines-v1.0
Jet2,jet2.com,Cust Operations/CX,Chris F.,Head of Customer Service & Contact Centre Support,https://www.linkedin.com/in/chris-f-30bb63b6/,United Kingdom,2022-03-01,1,drafted,NOT LOADED - pending DNC gate,"A service reputation is built in normal weeks and defended in disrupted ones, and the disrupted ones now come with a compensation clock attached at 220 pounds a passenger.","Claims from one disrupted week can arrive for six years, which means the contact operation defends the reputation long after the week itself is forgotten.","it's about the note I sent on the three hour mark, and defending a service reputation through it","Hi Chris, it's Jack Ohagan. A strong service reputation raises the stakes of a disrupted week, customers expect the recovery to match the brand, and that's decided by how staffed the surge is. When a bad day is coming, how much runway does the contact operation get to reshape ahead of it?",PASS,airlines-v1.0
