account,full_name,input_title,linkedin_url,fresh_title,fresh_company,latest_start,status,note
Carelon,Mark Kaye,Executive Vice President & Chief Financial Officer (oversees Carelon),https://www.linkedin.com/in/mark-kaye/,,,,current,"Clay returned no profile on any Elevance/Carelon domain, LinkedIn company URL or surname search; URL carried from input context (web research Sep 11, Feb 26 2026 release: CFO role expanded to cover Carelon); title not refreshed by the tool, confirm by eye"
Carelon,Will Feest,"President, Carelon Insights and Chief Operating Officer, Carelon",https://www.linkedin.com/in/william-feest-3aa9385/,President Carelon Insights/ COO - Carelon,Elevance Health,2026-04,current,searched as William Feest on elevancehealth.com; URL matches input context
Carelon,"Maureen Tarpinian, MBA",Chief Operating Officer,https://www.linkedin.com/in/maureen-tarpinian-mba-52305149/,Chief Operating Officer,Carelon Behavioral Health,2021-12,current,searched as Maureen Tarpinian
Carelon,Jacquelyn Stupakevich,Senior Vice President of Integrated Operations,https://www.linkedin.com/in/jacquelyn-stupakevich-75393317/,Senior Vice President of Integrated Operations,Carelon Behavioral Health,2018-01,current,
Carelon,Alicia DeSieno,Director of Business Systems Architecture,https://www.linkedin.com/in/alicia-desieno-84002b33/,Director of Business Systems Architecture,Carelon Behavioral Health,2024-01,current,
Carelon,Dee Durant,Director Quality Operations,https://www.linkedin.com/in/dee-durant-3b55b4166/,Director Quality Operations,Beacon Health Options,1998-12,current,"profile still lists Beacon Health Options (legacy brand, now Carelon Behavioral Health)"
Carelon,"Kenny Mai, MBA",Director Operations Services,https://www.linkedin.com/in/kennynguyen993/,Director Operations Services,Carelon Behavioral Health,2024-01,current,searched as Kenny Mai; profile slug reads kennynguyen993
Carelon,Lisa Laplante,VP Claims,,,,,not_found,"not resolved on carelon.com, carelonbehavioralhealth.com, carelonrx.com, beaconhealthoptions.com, elevancehealth.com, anthem.com, carelonhealth.com, carelonglobal.com, aimspecialtyhealth.com, LinkedIn company URLs, surname-only or spelling variants; candidates file holds Clay profile id 239629181 from the Sep 11 search (Beacon Health Options, start 2018-01)"
Carelon,Terry Billyard,"Assistant Vice President, Claims Operations Support",,,,,not_found,"not resolved on carelon.com, carelonbehavioralhealth.com, carelonrx.com, beaconhealthoptions.com, elevancehealth.com, anthem.com, carelonhealth.com, carelonglobal.com, aimspecialtyhealth.com, LinkedIn company URLs, surname-only or spelling variants; candidates file holds Clay profile id 370948975 from the Sep 11 search (Beacon Health Options, start 2018-11)"
Carelon,Christina Rosa,Claims Director,https://www.linkedin.com/in/christinamrosa/,Claims Director,Beacon Health Options,2021-05,current,"profile still lists Beacon Health Options (legacy brand, now Carelon Behavioral Health)"
Carelon,Heather Gerard,Claims Director,https://www.linkedin.com/in/heather-gerard-2897911a3/,Claims Director,Carelon Behavioral Health,2021-05,current,
Carelon,Anthony Holston,"Staff VP, Grievances and Appeals",https://www.linkedin.com/in/anthony-holston-021550290/,"Staff VP, Grievances and Appeals",Carelon Health,2025-03,current,found via carelonhealth.com
Carelon,Lourdes Basmajian,"Director, Grievance & Appeals",https://www.linkedin.com/in/lourdes-basmajian-0a958814/,"Director, Grievance & Appeals",Beacon Health Options,2021-02,current,"profile still lists Beacon Health Options (legacy brand, now Carelon Behavioral Health)"
Carelon,Cliff Houde,Staff VP - Operations,https://www.linkedin.com/in/cliff-houde-68681b5/,Staff VP - Operations,Carelon,2023-01,current,
Carelon,Sarah Albertini-Bond,Director of Operations,https://www.linkedin.com/in/sarahalbertinibond/,Director of Operations,Carelon,2019-08,current,
Carelon,"Thomas E. Allen, MBA","Director, Workforce Management - Service Operations",https://www.linkedin.com/in/teamba/,"Director, Workforce Management – Service Operations",Carelon,2015-05,current,searched as Thomas E. Allen
Carelon,Kim Tommasone,"Staff VP, Implementations",https://www.linkedin.com/in/kim-tommasone-05375a18/,"Staff VP, Implementations",Carelon,2022-09,current,
Carelon,Mohammed S.,Director Business Systems and Implementations,https://www.linkedin.com/in/mohammed-s-5876b8164/,Director Business Systems and Implementations,Carelon,2023-01,current,initial-only surname resolved on carelon.com
